created_date,modified_date,rating,custom_signup_field_values,feedback,status,id,attended,sponsor_id,timeslot_id,person_id,event_id,utm_source
2019-04-23 11:01:09,2019-06-06 15:51:58,Positive,,wfp is my political home,REGISTERED,961149,True,1391,541134,467354,91154,
2019-04-23 15:08:04,2020-11-18 13:45:25,Positive,,boom,REGISTERED,961379,True,1391,541134,467354,91154,
2019-04-23 19:22:30,2019-06-06 15:40:05,,,,REGISTERED,961562,,1391,541134,438678,91154,msite
2019-04-23 22:55:54,2019-06-06 15:41:02,,,,REGISTERED,961684,,1391,541135,507597,91154,
2019-04-23 22:55:54,2019-06-06 15:44:33,,,,REGISTERED,961685,,1391,541136,507597,91154,
2019-04-23 22:55:54,2019-06-06 15:40:26,,,,REGISTERED,961686,,1391,541137,507597,91154,
2019-04-25 20:51:46,2019-06-06 15:46:27,,,,REGISTERED,964336,,1391,541136,510436,91154,
2019-04-25 22:19:03,2020-11-18 13:07:09,,,,REGISTERED,964446,False,1391,541137,56206,91154,msite
2019-04-25 22:19:03,2019-06-06 15:46:09,,,,REGISTERED,964447,,1391,541138,56206,91154,msite
2019-04-26 16:24:46,2020-11-18 13:07:09,,,,REGISTERED,965207,False,1391,541137,689,91154,
2019-04-30 16:24:55,2019-06-06 15:51:53,,,,REGISTERED,969877,,1391,541141,6315,91154,
2019-04-30 17:26:42,2020-11-18 13:01:52,,,,REGISTERED,969955,False,1391,541141,1774,91154,
2019-05-03 00:08:51,2019-06-06 15:53:50,,,,REGISTERED,972695,,1391,541144,277630,91154,
2019-05-06 16:34:39,2019-06-06 15:43:47,,,,REGISTERED,978107,,1391,545482,467354,91985,
2019-05-06 16:41:30,2019-06-06 15:43:47,,,,REGISTERED,978117,,1391,545483,467354,91985,
2019-05-15 14:20:29,2019-06-06 15:59:08,,,,REGISTERED,998738,,1391,548506,467354,91985,
2019-05-15 15:31:05,2019-06-06 15:59:12,,,,REGISTERED,998906,,1391,548508,539369,91985,
2019-05-15 16:21:54,2019-06-06 15:59:20,,,,REGISTERED,999303,,1391,548506,539653,91985,
2019-05-16 07:27:11,2019-06-06 16:00:03,,,,REGISTERED,1001057,,1391,548506,25392,91985,
2019-05-17 16:08:45,2019-06-06 15:18:37,,,,REGISTERED,1004663,,1391,548507,187589,91985,
2019-05-18 14:57:05,2019-06-06 15:55:26,,,,REGISTERED,1006961,,1391,548508,187589,91985,
2019-05-19 21:55:58,2019-06-06 15:50:03,,,,REGISTERED,1008676,,1391,548509,546254,91985,
2019-05-11 15:28:04,2019-06-06 15:52:41,,,,REGISTERED,992298,,1391,547202,467354,92623,
2019-05-11 16:43:58,2019-06-06 15:46:58,,,,REGISTERED,992397,,1391,547202,56206,92623,
2019-05-13 15:31:40,2019-06-06 15:56:55,,,,REGISTERED,994687,,1391,547204,438678,92623,
2019-05-14 15:02:42,2019-06-06 15:58:06,,,,REGISTERED,996786,,1391,547205,176261,92623,
2019-05-14 16:18:23,2019-06-06 15:58:11,,,,REGISTERED,996954,,1391,547205,537933,92623,
2019-05-14 20:44:56,2019-06-06 15:58:28,,,,REGISTERED,997575,,1391,547205,19597,92623,
2019-05-15 12:28:14,2019-06-06 15:59:02,,,,REGISTERED,998553,,1391,547206,51695,92623,
2019-05-16 10:59:34,2019-06-06 16:00:12,,,,REGISTERED,1001460,,1391,547207,150744,92623,
2019-05-17 09:12:53,2019-06-06 16:01:18,,,,REGISTERED,1003527,,1391,547208,542676,92623,
